   2.4500000e+01,   5.8000000e+01,0
   3.0000000e+01,   6.7000000e+01,0
   3.3000000e+01,   5.6000000e+01,0
   5.6500000e+01,   6.1000000e+01,0
   4.1000000e+01,   5.7000000e+01,0
   4.9500000e+01,   6.3000000e+01,0
   3.4500000e+01,   7.2500000e+01,0
   3.2500000e+01,   6.9000000e+01,0
   3.6000000e+01,   7.3000000e+01,0
   4.9500000e+01,   7.6000000e+01,1
   4.1000000e+01,   7.6000000e+01,1
   4.8500000e+01,   7.2500000e+01,1
   5.1500000e+01,   8.2500000e+01,1
   4.4500000e+01,   7.0500000e+01,1
   4.4000000e+01,   6.6000000e+01,1
